epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.91344,1.77592,2.99906,1.32809,0.00408,0.97727,0.22348,0.06976,1.55137,3.26945,1.18019,0.00042,0.00042,0.00042
2,10.2496,1.55736,1.6004,1.15176,0.00377,0.97727,0.05698,0.02069,1.66049,3.07652,1.29002,0.000851486,0.000851486,0.000851486
3,14.143,1.57712,1.46287,1.19556,0.00333,0.93182,0.01394,0.00567,1.95967,3.16997,1.96738,0.00127426,0.00127426,0.00127426
4,18.3149,1.62462,1.41844,1.25885,0.0916,0.20455,0.068,0.02506,1.88257,3.0345,1.71134,0.00168832,0.00168832,0.00168832
5,22.3876,1.55562,1.30342,1.24157,0.0146,0.43182,0.0129,0.00562,1.89183,16.6191,1.94476,0.0019208,0.0019208,0.0019208
6,26.1276,1.56514,1.31926,1.20289,0.00541,0.47727,0.00394,0.00194,2.08807,196.512,2.13032,0.001901,0.001901,0.001901
7,30.0633,1.47636,1.20315,1.18908,0.63869,0.36165,0.40419,0.19699,nan,nan,nan,0.0018812,0.0018812,0.0018812
8,34.1353,1.52428,1.16221,1.19446,0.81723,0.59091,0.72652,0.33358,1.70473,2.85239,1.54167,0.0018614,0.0018614,0.0018614
9,37.7341,1.50734,1.15411,1.21494,0.80938,0.63636,0.75451,0.37442,1.59007,3.12881,1.51541,0.0018416,0.0018416,0.0018416
10,41.7762,1.47113,1.07809,1.18545,0.75649,0.81818,0.81145,0.38709,1.59526,1.32219,1.40713,0.0018218,0.0018218,0.0018218
11,45.8132,1.43444,1.03826,1.16199,0.76669,0.74691,0.79491,0.36553,1.71546,1.52327,1.4818,0.001802,0.001802,0.001802
12,49.457,1.40149,1.00786,1.11795,0.80882,0.77273,0.79486,0.3778,1.75409,1.28998,1.47195,0.0017822,0.0017822,0.0017822
13,53.4169,1.43298,1.02092,1.1833,0.75855,0.75,0.7889,0.37,1.65589,2.35114,1.44689,0.0017624,0.0017624,0.0017624
14,57.4118,1.32893,0.95805,1.12069,0.8178,0.81614,0.85585,0.41858,1.54816,1.52533,1.49943,0.0017426,0.0017426,0.0017426
